"id","citations","publication_year","journal","authors","title","doi","matched_term","context_mentions"
"https://openalex.org/W4214518776",40,2002,"Unknown Journal","Unknown Author","Anti‐Party Sentiments in Southern Europe","https://doi.org/10.1093/0199246742.003.0010","party decline","Anti‐Party Sentiments in Southern Europe - Abstract Political scientists who have written about party decline (the ‘crisis of parties’) fall into two broad categories: one group includes those who focus their analysis on the organizational structures, functio"
"https://openalex.org/W2248913600",39,2002,"Unknown Journal","Unknown Author","Party Government, Patronage, and Party Decline in Western Europe","https://doi.org/10.1093/0199246742.003.0009","party decline","Party Government, Patronage, and Party Decline in Western Europe - Abstract Blondel approaches the question of party decline by asking to what extent it is a product of semi‐legal or illegal practices adopted by parties. At first glance it seems that the answer should be po"
"https://openalex.org/W3038337836",37,2020,"European Political Science Review","Unknown Author","Party decline or social transformation? Economic, institutional and sociological change and the rise of anti-political-establishment parties in Western Europe","https://doi.org/10.1017/s1755773920000260","party decline","Party decline or social transformation? Economic, institutional and sociological change and the rise of anti-political-establishment parties in Western Europe - Ab"
"https://openalex.org/W1970970358",32,2008,"German Politics","Unknown Author","Party Cartel and Cartel Parties in Germany","https://doi.org/10.1080/09644000701855119","party decline","in Herbert E. Alexander (ed.), Comparative Political Finance in the 1980s (Cambridge: Cambridge University Press, 1989), p.237. 6. Susan E. Scarrow, 'Party Decline in the Parties State? The Changing Environment of German Politics', in Paul Webb et al. (eds.), Political Parties in Advanced Industrial Democracies"
"https://openalex.org/W1970970358",32,2008,"German Politics","Unknown Author","Party Cartel and Cartel Parties in Germany","https://doi.org/10.1080/09644000701855119","party decline","e veto positions of interest groups, sub-national governments and the citizenry. See Detterbeck, Wandel politischer Parteien, pp.271–3. 19. Scarrow, 'Party Decline', pp.77–86. 20. Peter Mair, Party System Change. Approaches and Interpretations (Oxford: Clarendon, 1997), pp.152–4. 21. Katz and Mair, 'Changing Mod"
"https://openalex.org/W1970970358",32,2008,"German Politics","Unknown Author","Party Cartel and Cartel Parties in Germany","https://doi.org/10.1080/09644000701855119","party decline","scendancy of the Party', p.122. 32. See, inter alia, von Beyme, Politische Klasse; Poguntke, 'Parties in a legalistic culture', pp.197–199; Scarrow, 'Party Decline', pp.93–100. 33. See Koole, 'Cadre, Catch-all or Cartel?', pp.509–14. 34. See Thomas Poguntke, 'Zur empirischen Evidenz der Kartellparteien-These', Z"
"https://openalex.org/W4282582090",32,2022,"Comparative Political Studies","Unknown Author","Networks of Grievances: Social Capital and Mainstream Party Decline","https://doi.org/10.1177/00104140221100195","party decline","Networks of Grievances: Social Capital and Mainstream Party Decline - Why does support for mainstream parties decline? A growing literature points to economic loss as a source of political resentment. We bring this ex"
"https://openalex.org/W1997836388",29,2012,"Representation","Unknown Author","PARTIES IN LOCAL GOVERNMENT: A REVIEW","https://doi.org/10.1080/00344893.2012.683489","party decline","PARTIES IN LOCAL GOVERNMENT: A REVIEW - ‘Party decline’ and ‘crisis’ have been a long-standing observation of the state of party politics explaining: how parties have lost touch with their electorates, th"
"https://openalex.org/W1997836388",29,2012,"Representation","Unknown Author","PARTIES IN LOCAL GOVERNMENT: A REVIEW","https://doi.org/10.1080/00344893.2012.683489","party decline","ting we can expect those indicators of decline to be magnified and in this article, we suggest some lessons which may be learned, for the concept of ‘party decline’, by examining parties in local government. Across Europe, in local government, power has been concentrated in party groups with strong party discipl"
"https://openalex.org/W1997836388",29,2012,"Representation","Unknown Author","PARTIES IN LOCAL GOVERNMENT: A REVIEW","https://doi.org/10.1080/00344893.2012.683489","party decline","he Nordic countries, generates general insights about the state of parties today, making it reasonable to hypothesise that a general pattern of local party decline across Europe is emerging, and that this has far-reaching consequences for the functioning of local democracy."
"https://openalex.org/W2088826117",21,2013,"Journal of Contemporary European Studies","Unknown Author","Tipping the Balance Scale? Rightward Momentum, Party Agency and Austrian Party Politics","https://doi.org/10.1080/14782804.2013.766477","party decline","and later office, all the while becoming more domesticated and vulnerable to co-optation when in office. This led to party splits and some measure of party decline. Meanwhile, other parties including the ÖVP have suffered from an identity crisis adapting slowly to the rise of the FPÖ through the 1990s making str"
"https://openalex.org/W2059059488",21,2001,"Totalitarian Movements & Political Religions","Unknown Author","Modern European Democracy and Its Enemies: The Threat of the Extreme Right","https://doi.org/10.1080/714005438","party decline","han its predecessor, the subversive political party. It presents a (idiosyncratic) challenge to regimes seeking to assure stability. Contrary to the 'party decline' and 'trade off' theses, we will argue that the 'uncivil society' and extreme right-wing parties operate jointly to promote similar goals and thus pr"
"https://openalex.org/W2055964173",19,2000,"Political Research Quarterly","Unknown Author","Challenges to the American Two-Party System: Evidence from the 1968, 1980, 1992, and 1996 Presidential Elections","https://doi.org/10.1177/106591290005300303","party decline","by independent presidential candidates raise questions about the stability of the American two-party system. Students of electoral behavior point to party decline, whereas analysts of party organization see growth and transformation. Analyses of the 1968, 1980, 1992, and 1996 National Election Study surveys are"
"https://openalex.org/W2168429675",19,2007,"Annual Review of Political Science","Unknown Author","Be Careful What You Wish For: The Rise of Responsible Parties in American National Politics","https://doi.org/10.1146/annurev.polisci.10.071105.100750","party decline","ard a More Responsible Party System. In the following decades the American parties appeared to weaken still further in all aspects, but this apparent party decline in fact signified a transition to a contemporary American party system with more polarized parties similar to those envisaged by the 1950 report. It"
"https://openalex.org/W2493501516",17,2003,"Unknown Journal","Unknown Author","The Decline of Party?","https://doi.org/10.1093/0199250154.003.0011","party decline","role of political parties are particularly relevant. Before the main analysis is undertaken, the chapter takes a brief look at the whole question of party decline in its historical context."
"https://openalex.org/W2565761133",15,2017,"European Political Science","Unknown Author","Assessing Party Membership Figures: The Mapp Dataset","https://doi.org/10.1057/s41304-016-0098-z","party decline","Assessing Party Membership Figures: The Mapp Dataset - Abstract Assessments of party decline and decline of traditional forms of political participation often rely on the argument of party membership decline. Most studies analysing trends in"
"https://openalex.org/W2326651682",14,2015,"Government and Opposition","Unknown Author","Why are there Independents in Ireland?","https://doi.org/10.1017/gov.2014.47","party decline","he clichéd status of the phrase ‘the party’s over’ makes it almost redundant, the esteem in which parties are held has never been lower. One facet of party decline is the renewed interest in independents. Previously confined to transition states and non-democracies, they have begun to make some political headway"
