"id","title","display_name","abstract","doi","publication_date","publication_year","fwci","cited_by_count","type","is_oa","is_oa_anywhere","oa_status","oa_url","any_repository_has_fulltext","source_display_name","source_id","issn_l","host_organization","host_organization_name","landing_page_url","pdf_url","license","version","referenced_works_count","is_paratext","is_retracted","language","first_page","last_page","volume","issue","oa_input"
"W4394882848","Political Polarization and Economic Growth ","Political Polarization and Economic Growth ","<title>Abstract</title> This study examines the effect of political polarization, measured by the dispersion of self-reported political ideologies, on economic growth. Using a panel of 75 countries from 1990 to 2019, we find that political polarization has a negative effect on economic growth through its effect on private investment, human capital investment, and total factor productivity. We reveal that state capacity—the government’s ability to achieve intended policy goals—mitigates the adverse effect of polarization. JEL Classifications: D72, O47.","https://doi.org/10.21203/rs.3.rs-4244901/v1",2024-04-17,2024,NA,2,"preprint",TRUE,TRUE,"green","https://www.researchsquare.com/article/rs-4244901/latest.pdf",TRUE,"Research Square","https://openalex.org/S4306525896",NA,NA,NA,"https://doi.org/10.21203/rs.3.rs-4244901/v1","https://www.researchsquare.com/article/rs-4244901/latest.pdf","cc-by","acceptedVersion",90,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W117067413","Biased Competition, Popularity Shocks, and Government Inefficiency","Biased Competition, Popularity Shocks, and Government Inefficiency",NA,"https://doi.org/10.2139/ssrn.1860802",2011-01-01,2011,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.1860802",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.1860802",NA,NA,"publishedVersion",45,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W1501486295","La question raciale à l'African National Congress (ANC) post-apartheid : production de discours, régulation et changement dans un parti politique","La question raciale à l'African National Congress (ANC) post-apartheid : production de discours, régulation et changement dans un parti politique","Dans ce travail, on utilise la question raciale comme un prisme pour étudier le parti politique African National Congress (ANC), en se focalisant sur trois problèmes de recherche : la production de discours, la régulation et le changement partisan. Notre postulat de départ est que le positionnement idéologique nationaliste de l'ANC est un positionnement ambigu et pluriel, entre non-racialisme et nationalisme africain, entre caractère multi-classes et biais en faveur des pauvres et des travailleurs. C'est un consensus hétérogène sur ce positionnement multiple qui « tient » le parti ensemble. On entend tout d'abord démontrer que dans le contexte de la nouvelle Afrique du Sud démocratique et non-raciale, ce positionnement pluriel amène le parti à développer des discours alternatifs et à construire des identités collectives emboîtées, notamment dans son offre électorale. On étudie ensuite comment le nouvel environnement post-apartheid, celui d'une société normalisée où les clivages raciaux et socio-économiques évoluent, met en péril le consensus sur lequel repose l'ANC et émet des pressions sur le parti pour qu'il change et se repositionne. Enfin, on démontre qu'idéologie et organisation sont liées : du positionnement pluriel de l'ANC sur la question raciale découlent des règles formelles et informelles d'organisation et de fonctionnement.",NA,2010-01-01,2010,NA,1,"dissertation",TRUE,TRUE,"green","https://theses.hal.science/tel-00541268",TRUE,"HAL (Le Centre pour la Communication Scientifique Directe)","https://openalex.org/S4306402512",NA,"https://openalex.org/I1294671590","Centre National de la Recherche Scientifique","https://theses.hal.science/tel-00541268",NA,"other-oa","submittedVersion",191,FALSE,FALSE,"fr",NA,NA,NA,NA,FALSE
"W1530213690","Conceptualising Party Political Ideology: An Exploration of Party Modernisation in Britain","Conceptualising Party Political Ideology: An Exploration of Party Modernisation in Britain","Ideology in political parties has been studied in a variety of different ways. From accounts which emphasise the decline of ideology to scholars attesting the centrality of ideas, the interaction between parties and ideology is often far from clear. In this thesis I set out to explore this relationship in greater detail, arguing that ideological analysis is relevant to understanding parties, but that existing modes of investigation should be tailored to reflect the specific circumstances of political parties. In advancing this contention I introduce the concept of party political ideology as a means for schematising my own study of this area; offering a model in which parties are seen to both possess and project an ideology. In operationalising this approach I concentrate on ideology as projected, arguing that to understand parties’ contemporary relationship with ideology it is informative to consider how the public view this interaction. This leads me to examine ideology through rhetoric, exploring parties’ communicative utterances to discern the way in which ideology is conveyed, the form of ideological change and the apparent relevance of ideology vis-à-vis other party motivations. In applying this approach attention is directed to the Labour Party between 1982 and 1997 and the Conservatives between 1996 and 2010, exploring these periods to examine ideology, ideological change and the indicators of modernisation. Whilst characterising ideology in both of these cases, and developing my own narrative of ideological change and modernisation, I also use this analysis to exhibit the capacities of my theoretical and methodological approach. This leads me to examine how parties’ ideological messages are likely to be decoded and how notions of ideological irrelevance arise; insights which help to explain perceptions of ideology in relation to contemporary party politics. In this regard this thesis engages in a theoretical, methodological and applied analysis of the relationship between political parties and ideology. This multi-stranded inquiry is used to assert the relevance of ideology in the field of party politics and the need to advance, under the banner of party political ideology, a form of analysis capable of appreciating the nuanced interaction between these concerns.",NA,2012-01-01,2012,NA,1,"dissertation",TRUE,TRUE,"green","http://uilis.unsyiah.ac.id/opentheses/items/show/16118",TRUE,"UPT. Syiah Kuala University Library (Syiah Kuala University)","https://openalex.org/S4377196378",NA,"https://openalex.org/I187494767","Universitas Syiah Kuala","http://uilis.unsyiah.ac.id/opentheses/items/show/16118","http://uilis.unsyiah.ac.id/opentheses/items/show/16118",NA,"submittedVersion",391,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W1552742799","Consumption of politics: It's not always a rational choice : the electoral decision-making of young voters.","Consumption of politics: It's not always a rational choice : the electoral decision-making of young voters.","The aim of this thesis was to explore the efficacy of the rational choice model in the electoral decision making of young people. The initial view was that this was too narrow a concept to apply to a real world situation. Therefore, consumer behaviour theory was reviewed in order to find out how marketers understand consumer decision making and explore if this could add anything to electoral decision making. Using an ideographic approach, this research revealed a number of different groups that did not conform to the rational choice model. Moreover, it was interesting to discover that many voter and non-voter groups exhibit what can be described as irrational behaviour. Using education as a key variable and the Elaboration Likelihood Model as an analytical framework, it was possible to identify the different ways in which the groups built up their political knowledge and what effect this had upon the extent of their engagement with the electoral process. Two models were developed that described the various groups and their electoral behaviour. The thesis concludes by suggesting that engagement is limited to a small number of groups and the level of engagement is determined by a complex mix of education, life stage and the notion of risk.",NA,2006-09-01,2006,NA,1,"dissertation",TRUE,TRUE,"green","http://hdl.handle.net/1893/198",TRUE,"Stirling Online Research Repository (University of Stirling)","https://openalex.org/S4306400268",NA,"https://openalex.org/I12093191","University of Stirling","http://hdl.handle.net/1893/198","http://hdl.handle.net/1893/198",NA,"submittedVersion",201,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W1592724928","La profesionalización de las campañas electorales en Brasil (1989-2006)","La profesionalización de las campañas electorales en Brasil (1989-2006)","Esta investigación analiza la profesionalización de las campañas electorales, en concreto el impacto de los factores sistémicos (sistema electoral, sistema de partidos, cultura política y sistema de medios) y partidistas (el marco originario, organización interna y liderazgo) en esa profesionalización. La hipótesis central es que esos factores delimitan el nivel de profesionalización. Se analizan las dos principales campañas de cada una de las elecciones presidenciales brasileñas de 1989 a 2006. Se encuentra que factores como el sistema electoral con reglas rígidas, sobre todo para acceso a los medios, frenan la profesionalización; que un sistema de partidos débil y un sistema de medios competitivo desempeñan un papel opuesto, incentivando la profesionalización. La cultura política interfiere en la profesionalización y en el culto a la imagen, en especial por la presencia destacada del clientelismo. Los factores partidistas resultan decisivos en la organización de campaña: los partidos de masas como PT en sus comienzos limitan la presencia de consultores y la centralización del comando, el opuesto del que pasa con PRN, un partido profesional electoral. También los liderazgos individuales fortalecen la rápida profesionalización, puesto que son la misma referencia del partido. La investigación ofrece una propuesta de medición del nivel de profesionalización, con el análisis de 25 indicadores para cada una de las campañas, de ahí resultando un índice que revela el nivel profesional de cada campaña. Los índices registrados desde 1989 son de creciente profesionalización, en algunos casos comparables al patrón estadounidense, considerado el más profesional.","https://doi.org/10.14201/gredos.18601",2007-12-01,2007,NA,1,"dissertation",TRUE,TRUE,"gold","https://gredos.usal.es/bitstream/10366/18601/1/DDPG_Profesionalizacion%20de%20las%20campanas%20electorales.pdf",NA,NA,NA,NA,NA,NA,"https://doi.org/10.14201/gredos.18601","https://gredos.usal.es/bitstream/10366/18601/1/DDPG_Profesionalizacion%20de%20las%20campanas%20electorales.pdf","cc-by-nc-nd","publishedVersion",110,FALSE,FALSE,"es",NA,NA,NA,NA,FALSE
"W159432547","Conclusion: An Emancipative Theory of Democracy","Conclusion: An Emancipative Theory of Democracy","Socioeconomic development brings increasingly favorable existential conditions and diminishes external constraints on intrinsic human choice. Favorable existential conditions contribute to emerging self-expression values that give individual liberty priority over collective discipline, human diversity over group conformity, and civic autonomy over state authority. The emergence of these values transforms modernization into a process of human development in which the underlying theme is the growth of autonomous human choice, giving rise to a new type of humanistic society that has never existed before. Rising self-expression values provide a social force that operates in favor of democracy, helping to establish democracy where it does not yet exist, and strengthening democracy where it is already in place, improving the effectiveness of democratic institutions.","https://doi.org/10.1017/cbo9780511790881.017",2001-01-01,2001,0,1,"book-chapter",FALSE,FALSE,"closed",NA,FALSE,"Cambridge University Press eBooks","https://openalex.org/S4306462995",NA,"https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/cbo9780511790881.017",NA,NA,"publishedVersion",374,FALSE,FALSE,"en","299","300",NA,NA,FALSE
"W1598996725","The Production Function for Votes","The Production Function for Votes","The Vote Production Function (VPF) has a party's vote depending on (a) its potential vote and (b) the party organization which actualizes it - 'political capital'. Empirical work suggests that moving to the centre would increase your vote if only you could hold political capital constant. The relative weights of the factors in the VPF will determine whether parties converge or polarize ideologically and politicians' rent-seeking behaviour. In most cases, the more important political capital is, the greater the extent of rent seeking. There is thus a welfare case for sidelining party organizations. Compulsory voting might help.",NA,2004-07-01,2004,NA,1,"preprint",FALSE,FALSE,"closed",NA,FALSE,"RePEc: Research Papers in Economics","https://openalex.org/S4306401271",NA,"https://openalex.org/I77793887","Federal Reserve Bank of St. Louis","https://EconPapers.repec.org/RePEc:bri:uobdis:04/559",NA,NA,"submittedVersion",7,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W1605396434","Une typologie des résultats électoraux basée sur le comportement des électeurs volatiles en Belgique","Une typologie des résultats électoraux basée sur le comportement des électeurs volatiles en Belgique","Cette contribution propose un modèle théorique permettant d’identifier les tendances générales dans le mouvement des électeurs volatiles. Notre méthode permet à partir de données décentralisées de compléter les enquêtes d’opinions pour comprendre quelle part du résultat d’un parti provient d’électeurs fidèles conservés d’une élection à l’autre, et quelle part de l’électorat a été renouvelée. Elle peut également être utilisée à des fins prédictives :à partir d’un faible nombre de résultats provenant potentiellement de zones considérées comme peu représentatives, notre modèle permet d’extraire une tendance générale et de la reproduire sur l’ensemble d’un territoire donné. Nous proposons une typologie des résultats possibles des différents partis (gagnant, perdant, stable ou renouvelé). A titre d’illustration, nous appliquons ce modèle aux élections fédérales belges de 2010, en utilisant comme référence le résultat des élections régionales de 2009.",NA,2012-09-15,2012,NA,1,"preprint",FALSE,FALSE,"closed",NA,FALSE,"RePEc: Research Papers in Economics","https://openalex.org/S4306401271",NA,"https://openalex.org/I77793887","Federal Reserve Bank of St. Louis","https://difusion.ulb.ac.be/vufind/Record/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/128886/Holdings",NA,NA,"submittedVersion",20,FALSE,FALSE,"fr",NA,NA,NA,NA,FALSE
"W1918742437","Foreword by Hans-Dieter Klingemann","Foreword by Hans-Dieter Klingemann","This book makes a major contribution to our understanding of social and political change. It tests the impact of culture on political and social life, analyzing the broadest empirical base ever assembled for this purpose. It interprets the evidence in a bold new theoretical framework – a revised version of modernization theory. Analyzing a massive body of data from the perspective of human development theory, the authors produce something that has been declared dead: grand theory.","https://doi.org/10.1017/cbo9780511790881.002",2001-01-01,2001,2.673,1,"book-chapter",FALSE,FALSE,"closed",NA,FALSE,"Cambridge University Press eBooks","https://openalex.org/S4306462995",NA,"https://openalex.org/P4310311721","Cambridge University Press","https://doi.org/10.1017/cbo9780511790881.002",NA,NA,"publishedVersion",375,FALSE,FALSE,"en","ix","x",NA,NA,FALSE
